tipe_entitas,nama_entitas,tahun,nilai
Kontraktor,"Tanito Harum, PT",2010,632539
Kontraktor,"Tanjung Alam Jaya, PT",2003,
Kontraktor,"Tanjung Alam Jaya, PT",2004,33586.93
Kontraktor,"Tanjung Alam Jaya, PT",2005,
Kontraktor,"Tanjung Alam Jaya, PT",2006,
Kontraktor,"Tanjung Alam Jaya, PT",2007,
Kontraktor,"Tanjung Alam Jaya, PT",2008,
Kontraktor,"Tanjung Alam Jaya, PT",2009,
Kontraktor,"Tanjung Alam Jaya, PT",2010,
Kontraktor,"Teguh Sinar Abadi, PT",2003,
Kontraktor,"Teguh Sinar Abadi, PT",2004,
Kontraktor,"Teguh Sinar Abadi, PT",2005,
Kontraktor,"Teguh Sinar Abadi, PT",2006,
Kontraktor,"Teguh Sinar Abadi, PT",2007,
Kontraktor,"Teguh Sinar Abadi, PT",2008,54366
Kontraktor,"Teguh Sinar Abadi, PT",2009,736594
Kontraktor,"Teguh Sinar Abadi, PT",2010,270839
Kontraktor,"Trubaindo Coal Mining, PT",2003,
Kontraktor,"Trubaindo Coal Mining, PT",2004,
Kontraktor,"Trubaindo Coal Mining, PT",2005,389197
Kontraktor,"Trubaindo Coal Mining, PT",2006,2754648.9
Kontraktor,"Trubaindo Coal Mining, PT",2007,2400654.3
Kontraktor,"Trubaindo Coal Mining, PT",2008,4025068.5
Kontraktor,"Trubaindo Coal Mining, PT",2009,3632390.7
Kontraktor,"Trubaindo Coal Mining, PT",2010,921194
Kontraktor,"Wahana Baratama Mining, PT",2003,
Kontraktor,"Wahana Baratama Mining, PT",2004,
Kontraktor,"Wahana Baratama Mining, PT",2005,
Kontraktor,"Wahana Baratama Mining, PT",2006,
Kontraktor,"Wahana Baratama Mining, PT",2007,
Kontraktor,"Wahana Baratama Mining, PT",2008,524312
Kontraktor,"Wahana Baratama Mining, PT",2009,2914863.7
Kontraktor,"Wahana Baratama Mining, PT",2010,647474
